Year,City,Sport,Discipline,Athlete,Gender,Event,Medal,Country,Code,Population,GDP per Capita,Season,Agility,Analytical Aptitude,Durability,Endurance,Flexibility,Hand-Eye Coordination,Nerve,Power,Rank,Speed,Strength,Total
"1900-01-01,Paris,Aquatics,Swimming,""WAHLE, Otto"",Men,1500M Freestyle,Silver,Austria,AUT,8611088.0,43774.985173612,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875"
"1900-01-01,Paris,Aquatics,Swimming,""WAHLE, Otto"",Men,1500M Freestyle,Silver,Austria,AUT,8611088.0,43774.985173612,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125"
"1900-01-01,Paris,Aquatics,Swimming,""DROST, Johannes"",Men,200M Backstroke,Bronze,Netherlands,NED,16936520.0,44299.768085382995,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875"
"1900-01-01,Paris,Aquatics,Swimming,""DROST, Johannes"",Men,200M Backstroke,Bronze,Netherlands,NED,16936520.0,44299.768085382995,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125"
"1900-01-01,Paris,Aquatics,Swimming,""HOPPENBERG, Ernst"",Men,200M Backstroke,Gold,Germany,GER,81413145.0,41313.3139945434,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875"
"1900-01-01,Paris,Aquatics,Swimming,""HOPPENBERG, Ernst"",Men,200M Backstroke,Gold,Germany,GER,81413145.0,41313.3139945434,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125"
"1900-01-01,Paris,Aquatics,Swimming,""RUBERL, Karl"",Men,200M Backstroke,Silver,Austria,AUT,8611088.0,43774.985173612,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875"
"1900-01-01,Paris,Aquatics,Swimming,""RUBERL, Karl"",Men,200M Backstroke,Silver,Austria,AUT,8611088.0,43774.985173612,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125"
"1900-01-01,Paris,Aquatics,Swimming,""RUBERL, Karl"",Men,200M Freestyle,Bronze,Austria,AUT,8611088.0,43774.985173612,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875"
"1900-01-01,Paris,Aquatics,Swimming,""RUBERL, Karl"",Men,200M Freestyle,Bronze,Austria,AUT,8611088.0,43774.985173612,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125"
"1900-01-01,Paris,Aquatics,Swimming,""LANE, Frederick C.V."",Men,200M Freestyle,Gold,Australia,AUS,23781169.0,56310.9629933721,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875"
"1900-01-01,Paris,Aquatics,Swimming,""LANE, Frederick C.V."",Men,200M Freestyle,Gold,Australia,AUS,23781169.0,56310.9629933721,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125"
"1900-01-01,Paris,Aquatics,Swimming,""HALMAY, Zoltan"",Men,200M Freestyle,Silver,Hungary,HUN,9844686.0,12363.543459653898,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875"
"1900-01-01,Paris,Aquatics,Swimming,""HALMAY, Zoltan"",Men,200M Freestyle,Silver,Hungary,HUN,9844686.0,12363.543459653898,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125"
"1900-01-01,Paris,Aquatics,Swimming,""KEMP, Peter"",Men,200M Obstacle Event,Bronze,United Kingdom,GBR,65138232.0,43875.9696143686,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875"
"1900-01-01,Paris,Aquatics,Swimming,""KEMP, Peter"",Men,200M Obstacle Event,Bronze,United Kingdom,GBR,65138232.0,43875.9696143686,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125"
"1900-01-01,Paris,Aquatics,Swimming,""LANE, Frederick C.V."",Men,200M Obstacle Event,Gold,Australia,AUS,23781169.0,56310.9629933721,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875"
"1900-01-01,Paris,Aquatics,Swimming,""LANE, Frederick C.V."",Men,200M Obstacle Event,Gold,Australia,AUS,23781169.0,56310.9629933721,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125"
"1900-01-01,Paris,Aquatics,Swimming,""WAHLE, Otto"",Men,200M Obstacle Event,Silver,Austria,AUT,8611088.0,43774.985173612,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875"
"1900-01-01,Paris,Aquatics,Swimming,""WAHLE, Otto"",Men,200M Obstacle Event,Silver,Austria,AUT,8611088.0,43774.985173612,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125"
